date	usd_open	usd_lo	usd_hi	usd_close	usd_volume	usd_range	usd_prev	usd_chg_amt	usd_chg_pct
2024-11-02	69486.0234375	69033.71875	69867.3515625	69289.2734375	18184612091	833.6328125			
2024-11-03	69296.3828125	67482.5234375	69361.65625	68741.1171875	34868307655	1879.1328125	69289.2734375	-548.15625	-0.7911127116875392
2024-11-04	68742.1328125	66803.6484375	69433.1796875	67811.5078125	41184819348	2629.53125	68741.1171875	-929.609375	-1.3523338185854241
2024-11-05	67811.171875	67458.8671875	70522.7890625	69359.5625	46046889204	3063.921875	67811.5078125	1548.0546875	2.2828790236907843
2024-11-06	69358.5	69322.03125	76460.15625	75639.078125	118592653963	7138.125	69359.5625	6279.515625	9.053568676993889
2024-11-07	75637.0859375	74480.421875	76943.1171875	75904.859375	63467654989	2462.6953125	75639.078125	265.78125	0.3513808689745979
2024-11-08	75902.8359375	75648.7421875	77252.75	76545.4765625	55176858003	1604.0078125	75904.859375	640.6171875	0.8439738809541797
2024-11-09	76556.1875	75773.7890625	76932.765625	76778.8671875	29009480361	1158.9765625	76545.4765625	233.390625	0.3049045292825823
2024-11-10	76775.546875	76565.4296875	81474.421875	80474.1875	82570594495	4908.9921875	76778.8671875	3695.3203125	4.812939351495951
2024-11-11	80471.4140625	80283.25	89604.5	88701.484375	117966845037	9321.25	80474.1875	8227.296875	10.22352276001544
2024-11-12	88705.5625	85155.109375	89956.8828125	87955.8125	133673285375	4801.7734375	88701.484375	-745.671875	-0.8406532091927013
2024-11-13	87929.96875	86256.9296875	93434.3515625	90584.1640625	123559027869	7177.421875	87955.8125	2628.3515625	2.988263638062578
2024-11-14	90574.8828125	86682.8125	91765.21875	87250.4296875	87616705248	5082.40625	90584.1640625	-3333.734375	-3.6802617869276095
2024-11-15	87284.1796875	87124.8984375	91868.7421875	91066.0078125	78243109518	4743.84375	87250.4296875	3815.578125	4.373133907381366
2024-11-16	91064.3671875	90094.2265625	91763.9453125	90558.4765625	44333192814	1669.71875	91066.0078125	-507.53125	-0.5573223886622761
2024-11-17	90558.4609375	88741.6640625	91433.0390625	89845.8515625	46350159305	2691.375	90558.4765625	-712.625	-0.7869224693816194
2024-11-18	89843.71875	89393.59375	92596.7890625	90542.640625	75535775084	3203.1953125	89845.8515625	696.7890625	0.7755383808848297
2024-11-19	90536.8125	90426.984375	94002.8671875	92343.7890625	74521048295	3575.8828125	90542.640625	1801.1484375	1.9892819836786155
2024-11-20	92341.890625	91619.5	94902.0234375	94339.4921875	71730956426	3282.5234375	92343.7890625	1995.703125	2.1611665984912865
2024-11-21	94334.640625	94132.6015625	99014.21875	98504.7265625	106024505582	4881.6171875	94339.4921875	4165.234375	4.415154542830892
2024-11-22	98496.4296875	97222.6640625	99655.5	98997.6640625	78473580551	2432.8359375	98504.7265625	492.9375	0.5004201495724547
2024-11-23	99006.7421875	97232.890625	99014.6796875	97777.28125	44414644677	1781.7890625	98997.6640625	-1220.3828125	-1.2327389984975181
2024-11-24	97778.09375	95788.078125	98647.1796875	98013.8203125	51712020623	2859.1015625	97777.28125	236.5390625	0.24191617876468618
2024-11-25	98033.4453125	92642.9140625	98935.03125	93102.296875	80909462490	6292.1171875	98013.8203125	-4911.5234375	-5.011051933125821
2024-11-26	93087.28125	90770.8125	94991.75	91985.3203125	91656519855	4220.9375	93102.296875	-1116.9765625	-1.199730404073342
2024-11-27	91978.140625	91778.6640625	97361.1796875	95962.53125	71133452438	5582.515625	91985.3203125	3977.2109375	4.323745271515385
2024-11-28	95954.9453125	94677.3515625	96650.203125	95652.46875	52260008261	1972.8515625	95962.53125	-310.0625	-0.3231078796704834
2024-11-29	95653.953125	95407.8828125	98693.171875	97461.5234375	54968682476	3285.2890625	95652.46875	1809.0546875	1.8912786163713102
2024-11-30	97468.8125	96144.21875	97499.34375	96449.0546875	31634227866	1355.125	97461.5234375	-1012.46875	-1.038839445855035
2024-12-01	96461.3359375	95770.1875	97888.125	97279.7890625	36590695296	2117.9375	96449.0546875	830.734375	0.861319354234858
2024-12-02	97276.0078125	94482.8671875	98152.6015625	95865.3046875	72680784305	3669.734375	97279.7890625	-1414.484375	-1.4540372554583014
2024-12-03	95854.59375	93629.5625	96297.203125	96002.1640625	67067810961	2667.640625	95865.3046875	136.859375	0.1427621551364508
2024-12-04	95988.53125	94660.5234375	99207.328125	98768.53125	77199817112	4546.8046875	96002.1640625	2766.3671875	2.8815675297684127
2024-12-05	98741.5390625	91998.78125	103900.46875	96593.5703125	149218945580	11901.6875	98768.53125	-2174.9609375	-2.2020788503929483
2024-12-06	97074.2265625	96514.875	102039.8828125	99920.7109375	94534772658	5525.0078125	96593.5703125	3327.140625	3.4444742173169685
2024-12-07	99916.7109375	99030.8828125	100563.3828125	99923.3359375	44177510897	1532.5	99920.7109375	2.625	0.0026270829894734504
2024-12-08	99921.9140625	98771.515625	101399.9921875	101236.015625	44125751925	2628.4765625	99923.3359375	1312.6796875	1.3136868131795103
2024-12-09	101237.0625	94355.9140625	101272.5078125	97432.71875	110676473908	6916.59375	101236.015625	-3803.296875	-3.7568614800964024
2024-12-10	97441.234375	94321.2578125	98270.15625	96675.4296875	104823780634	3948.8984375	97432.71875	-757.2890625	-0.7772430783165435
2024-12-11	96656.0625	95747.2265625	101913.359375	101173.03125	85391409936	6166.1328125	96675.4296875	4497.6015625	4.652269534294642
2024-12-12	101167.8046875	99339.953125	102524.9140625	100043.0	72073983533	3184.9609375	101173.03125	-1130.03125	-1.1169293200355703
